GTDB R95 genus	Number of genomes	Number of NCBI genera	List of NCBI genera
g__UBA11540	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10511	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-55	1	1	g__Ammonifex(f__Thermoanaerobacteraceae) 100.0%
g__T1SED10-198M	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B119-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__T1SED10-24	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CFX5	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWGF01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B13-G15	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12532	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWZK01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12327	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Glo-13	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8518	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8389	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PXAH01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CFX8	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8514	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9568	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B11-G15	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10799	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__ATM1	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__T1Sed10-126	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12567	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12135	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWHG01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__T1SED10-157	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PUNB01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWGO01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__T1SED10-78	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PXDG01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__T3Sed10-183	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B25-G16	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-60	1	1	g__Candidatus Desulforudis(f__Peptococcaceae) 100.0%
g__UBA8290	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PUMX01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__T1SED10-99	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__T1Sed10-97	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11320	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GLO-3	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B73-G16	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B33-G16	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8129	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B46-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__LB-PLM-3	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PXDI01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9676	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12170	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11986	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11398	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B17-G16	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9160	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B10-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12018	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-27	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QNBC01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9312	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8190	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8401	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B11-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CSSED10-310	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PXCK01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8524	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__MA-ANB-1	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B21-G9	1	1	g__Thermotoga(f__Thermotogaceae) 100.0%
g__B120-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9159	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B70-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8987	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-32	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PUNJ01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11957	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B18-G4	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B51-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8158	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B1Sed10-231	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B8-G4	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PUMD01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__T3Sed10-336	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B1SED10-173	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QNXT01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B22-G15	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10030	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PUNC01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PUND01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10649	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8612	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12015	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B6-G13	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B30-G15	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8670	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B47-G16	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PXDR01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11034	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10329	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B12-G4	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10906	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8801	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B3-G13	1	1	g__Thermotoga(f__Thermotogaceae) 100.0%
g__B3-G15	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PUMZ01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B14-G1	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B24-G6	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11618	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9215	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B39-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8156	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PXDE01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9294	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10085	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8153	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QNAD01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B22-G1	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9845	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10169	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11051	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10908	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWPP01	1	1	g__Syntrophomonas 100.0%
g__QNYL01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B14-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-33	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Chth-196	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J050	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11865	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9300	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QNZT01	1	1	g__Sulfurospirillum(f__Campylobacteraceae) 100.0%
g__J006	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J016	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J033	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QNZR01	1	1	g__Sulfurimonas(f__Helicobacteraceae) 100.0%
g__J025	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J032	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9786	1	1	g__Selenomonas 100.0%
g__AGPOR5	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__V1-33	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9865	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA7950	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11707	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RPRB01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RPQV01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J038	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Opi-474	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J040	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PIVX01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12090	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11346	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12247	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GLO-12	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RPQS01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9296	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J014	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9220	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J045	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Glo-17	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J042	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8921	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PCPOR2b	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9647	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11710	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8522	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9219	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J057	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J004	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J036	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J002	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11098	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9338	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CSSED11-181	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J027	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWTC01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__V1-115	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J029	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11386	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10118	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QOAM01	1	1	g__Thermodesulfatator 100.0%
g__RPPD01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA7951	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J010	1	1	g__Actinomyces(f__Actinomycetaceae) 100.0%
g__PWHX01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9650	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J022	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J052	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWVH01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J031	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11704	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J063	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QNZU01	1	1	g__Sulfurospirillum(f__Campylobacteraceae) 100.0%
g__UBA11490	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J009	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA7957	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11155	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11021	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J044	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QOAL01	1	1	g__Thermodesulfatator(f__Thermodesulfobacteriaceae) 100.0%
g__J021	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CSSED11-109	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J020	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J023	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9547	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RPRI01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J046	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RHLJ01	1	1	g__Balneola 100.0%
g__PWUB01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QNBT01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PXEK01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9217	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QAKR01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-23	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-47	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B130-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B7-G4	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10425	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B8-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__T3SED10-354	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11475	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B64-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10887	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-40	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-56	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-24	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BY39	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B129-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__NPL-UPA2	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-8	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-12	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9639	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B140-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11269	1	1	g__Ornithinibacillus(f__Bacillaceae) 100.0%
g__B30-G6	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-62	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-25	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11222	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B70-G16	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B1-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-26	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QAKS01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-17	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Ozemobacter	1	1	g__Candidatus Ozemobacter 100.0%
g__SURF-57	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11400	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B79-G16	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B137-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9214	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-28	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QAKL01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-38	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-36	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11873	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B7-G16	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-45	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9848	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QOAV01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B29-G16	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B143-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-52	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWOA01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B48-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B60-G16	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B68-G16	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RXOA01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-7	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QAKD01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B10-G4	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-21	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-11	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-5	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B21-G16	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10066	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11073	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QALA01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B28-G16	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B13-G4	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QAKW01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9088	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8783	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B61-G2	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-19	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B134-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-13	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9904	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B15-G4	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-54	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-37	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-15	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-3	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWNZ01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-18	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10426	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__H2GEO	1	1	g__Geobacter 100.0%
g__AC-25	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9087	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-10	1	1	g__Desulfarculus 100.0%
g__AWTP1-31	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__NS-4	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RXIX01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RXIV01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__ChocPot-Mid	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AC-9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXHT01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AC-14	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__NS-11	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11591	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SYHX01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BHEP01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__DP-36	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__VBCK01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXOA01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10424	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10427	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__NS-7	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AWTP1-35	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BHEQ01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXHM01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SYFY01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QZKY01	1	1	g__Oxalobacter(f__Oxalobacteraceae) 100.0%
g__SYDM01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RPRC01	1	1	g__Geobacter 100.0%
g__F1-120-MAGs118	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXHS01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__VAWY01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXSP01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AC-55	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXVE01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__ZC3RG10	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CF-46	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RXIW01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__VBOC01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXPC01	1	1	g__Planctomyces 100.0%
g__BHER01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CF-134	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXIE01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SBBM01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CF-120	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXLG01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__WS-9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__WS-8	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SBBA01	1	1	g__Nitrospira(f__Nitrospiraceae) 100.0%
g__DP-6	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SBBL01	1	1	g__Nitrospira(f__Nitrospiraceae) 100.0%
g__SYPI01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RSF151	1	1	g__Nitrospira 100.0%
g__F1-120-MAGs238	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__WS-11	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__VAXT01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B3-B38	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__F1-80-MAGS106	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AC-49	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__WS-2	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CF-165	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CF-28	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CF-107	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXOX01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AC-56	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CF-121	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SBAW01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXND01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B3-Chlor	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SYAK01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CF-162	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CF-161	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__F1-20-MAGs119	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B3-LCP	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXWH01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CF-154	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AC-52	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXIZ01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__VBDL01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SBAY01	1	1	g__Nitrospira(f__Nitrospiraceae) 100.0%
g__SYOC01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXXA01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AC-57	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SYBY01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AC-38	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXZD01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXNM01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__VAYN01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AE-B3B	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXXS01	1	1	g__Rickettsia 100.0%
g__VBAT01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AC-64	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SYFI01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXJQ01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Microgenomatus_B	1	1	g__Candidatus Microgenomatus(f__) 100.0%
g__SBBH01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__DP-19	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SBBU01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AC-16	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__F1-80-MAGs062	1	1	g__Planctomyces 100.0%
